# From https://www-sciboone.fnal.gov/data_release/flux/flux_numode.txt
# E_low(GeV)    E_high(GeV)     total   nue     anti-nue        numu    anti-numu
1.425	1.45	8.70625e-11	7.34457e-13	6.56455e-14	8.27238e-11	3.53862e-12
1.45	1.475	8.01288e-11	6.95377e-13	6.56668e-14	7.61248e-11	3.24296e-12
1.475	1.5	7.37059e-11	6.96046e-13	7.02433e-14	6.99214e-11	3.01819e-12
1.5	1.525	6.84942e-11	7.45743e-13	7.43809e-14	6.4742e-11	2.93211e-12
1.525	1.55	6.30213e-11	6.39512e-13	5.9934e-14	5.95523e-11	2.76952e-12
1.55	1.575	5.80933e-11	6.3328e-13	6.92622e-14	5.48378e-11	2.55291e-12
1.575	1.6	5.34512e-11	6.22272e-13	6.89485e-14	5.03704e-11	2.38953e-12
1.6	1.625	4.92993e-11	5.90767e-13	5.72316e-14	4.64117e-11	2.2396e-12
1.625	1.65	4.56293e-11	5.64915e-13	6.00168e-14	4.29206e-11	2.08371e-12
1.65	1.675	4.22024e-11	5.31521e-13	5.60754e-14	3.9672e-11	1.94281e-12
1.675	1.7	3.89931e-11	5.46799e-13	6.45607e-14	3.65417e-11	1.83997e-12
1.7	1.725	3.61471e-11	4.97904e-13	5.43773e-14	3.38388e-11	1.75604e-12
1.725	1.75	3.33796e-11	5.2927e-13	6.17084e-14	3.12227e-11	1.56586e-12
1.75	1.775	3.08986e-11	5.13869e-13	5.35416e-14	2.8858e-11	1.47316e-12
1.775	1.8	2.85133e-11	4.66955e-13	6.56469e-14	2.66125e-11	1.36822e-12
1.8	1.825	2.67321e-11	4.91123e-13	4.76625e-14	2.48534e-11	1.3399e-12
1.825	1.85	2.47177e-11	4.36559e-13	4.96381e-14	2.29634e-11	1.26806e-12
1.85	1.875	2.30567e-11	4.60941e-13	5.13715e-14	2.14096e-11	1.13474e-12
1.875	1.9	2.12442e-11	4.17003e-13	4.84688e-14	1.97384e-11	1.04034e-12
1.9	1.925	1.96996e-11	4.11708e-13	4.43265e-14	1.83042e-11	9.39407e-13
1.925	1.95	1.85507e-11	4.16464e-13	5.09792e-14	1.72243e-11	8.58949e-13
1.95	1.975	1.72437e-11	3.94176e-13	4.12696e-14	1.59616e-11	8.46697e-13
1.975	2	1.62087e-11	3.65697e-13	5.64389e-14	1.49702e-11	8.16429e-13
2	2.025	1.49526e-11	3.59407e-13	3.93851e-14	1.38237e-11	7.30162e-13
2.025	2.05	1.40632e-11	3.69166e-13	4.14981e-14	1.29782e-11	6.74365e-13
2.05	2.075	1.3105e-11	3.28769e-13	4.0204e-14	1.21114e-11	6.2469e-13
2.075	2.1	1.23491e-11	3.13878e-13	3.81462e-14	1.14046e-11	5.92437e-13
2.1	2.125	1.15635e-11	2.98277e-13	3.75313e-14	1.06785e-11	5.49111e-13
2.125	2.15	1.08505e-11	2.85466e-13	4.06669e-14	1.00494e-11	4.74889e-13
2.15	2.175	1.02219e-11	2.85579e-13	3.91155e-14	9.4246e-12	4.72657e-13
2.175	2.2	9.78664e-12	3.04789e-13	3.46606e-14	8.99942e-12	4.47775e-13
2.2	2.225	9.1449e-12	2.81255e-13	4.92334e-14	8.41247e-12	4.01946e-13
2.225	2.25	8.831e-12	2.71582e-13	3.02791e-14	8.13299e-12	3.96144e-13
2.25	2.275	8.21362e-12	2.70383e-13	3.88703e-14	7.56284e-12	3.41536e-13
2.275	2.3	7.83474e-12	2.49526e-13	3.811e-14	7.23769e-12	3.09413e-13
2.3	2.325	7.44709e-12	2.35226e-13	2.91798e-14	6.90651e-12	2.76181e-13
2.325	2.35	7.06565e-12	2.24695e-13	2.67039e-14	6.54643e-12	2.67816e-13
2.35	2.375	6.65761e-12	2.21456e-13	2.85896e-14	6.16849e-12	2.39072e-13
2.375	2.4	6.47984e-12	2.17267e-13	2.7226e-14	6.01798e-12	2.17372e-13
2.4	2.425	6.20644e-12	2.01579e-13	2.14441e-14	5.77533e-12	2.08092e-13
2.425	2.45	6.01351e-12	2.08772e-13	2.27141e-14	5.57007e-12	2.11945e-13
2.45	2.475	5.72589e-12	1.90328e-13	2.64737e-14	5.32265e-12	1.8644e-13
2.475	2.5	5.47782e-12	1.89915e-13	2.80894e-14	5.09896e-12	1.6086e-13
2.5	2.525	5.33271e-12	1.7631e-13	3.08683e-14	4.97255e-12	1.52976e-13
2.525	2.55	5.09848e-12	1.80883e-13	2.17407e-14	4.75541e-12	1.40445e-13
2.55	2.575	5.00265e-12	1.66733e-13	1.89777e-14	4.68129e-12	1.35647e-13
2.575	2.6	4.78551e-12	1.5252e-13	2.03882e-14	4.50246e-12	1.1014e-13
2.6	2.625	4.66066e-12	1.62801e-13	2.02896e-14	4.37397e-12	1.03601e-13
2.625	2.65	4.52361e-12	1.50746e-13	1.95936e-14	4.25341e-12	9.98601e-14
2.65	2.675	4.41852e-12	1.43951e-13	1.81542e-14	4.16787e-12	8.85514e-14
2.675	2.7	4.25497e-12	1.47109e-13	1.74095e-14	4.00295e-12	8.75063e-14
2.7	2.725	4.14718e-12	1.30507e-13	1.76574e-14	3.91074e-12	8.82827e-14
2.725	2.75	4.09619e-12	1.21832e-13	1.85008e-14	3.87073e-12	8.5131e-14
2.75	2.775	4.03924e-12	1.29242e-13	2.13082e-14	3.82877e-12	5.99152e-14
2.775	2.8	3.89925e-12	1.22346e-13	1.56767e-14	3.69991e-12	6.13133e-14
2.8	2.825	3.76529e-12	1.09802e-13	1.55563e-14	3.57979e-12	6.01432e-14
2.825	2.85	3.68704e-12	1.102e-13	1.50583e-14	3.51433e-12	4.74533e-14
2.85	2.875	3.5984e-12	9.8085e-14	1.58721e-14	3.4387e-12	4.57439e-14
2.875	2.9	3.55416e-12	1.15661e-13	1.25879e-14	3.37874e-12	4.71765e-14
2.9	2.925	3.38886e-12	9.3374e-14	1.28854e-14	3.24135e-12	4.12496e-14
2.925	2.95	3.29228e-12	9.52858e-14	1.2556e-14	3.1524e-12	3.20435e-14
2.95	2.975	3.31778e-12	8.75579e-14	1.29469e-14	3.18686e-12	3.04143e-14
2.975	3	3.19942e-12	8.25905e-14	1.04178e-14	3.07622e-12	3.01886e-14
3	3.025	3.14372e-12	9.00918e-14	9.8719e-15	3.02364e-12	2.0117e-14
3.025	3.05	3.17015e-12	7.80918e-14	1.93541e-14	3.05303e-12	1.96748e-14
3.05	3.075	3.11726e-12	7.57707e-14	1.11443e-14	2.99831e-12	3.20366e-14
3.075	3.1	2.99728e-12	7.47496e-14	1.12012e-14	2.89239e-12	1.89376e-14
3.1	3.125	2.96392e-12	7.06854e-14	8.44872e-15	2.86223e-12	2.25584e-14
3.125	3.15	2.90715e-12	6.81669e-14	8.51335e-15	2.81342e-12	1.70544e-14
3.15	3.175	2.87042e-12	6.49559e-14	9.7821e-15	2.78293e-12	1.27529e-14
3.175	3.2	2.81936e-12	6.20918e-14	7.7778e-15	2.73417e-12	1.53287e-14
3.2	3.225	2.79602e-12	6.40616e-14	9.02572e-15	2.70388e-12	1.9059e-14
3.225	3.25	2.70177e-12	5.29808e-14	7.10035e-15	2.62698e-12	1.47121e-14
3.25	3.275	2.64771e-12	5.55716e-14	7.05534e-15	2.5712e-12	1.38869e-14
3.275	3.3	2.61137e-12	5.43971e-14	6.86005e-15	2.54195e-12	8.16257e-15
3.3	3.325	2.51269e-12	4.55791e-14	6.02029e-15	2.44834e-12	1.27487e-14
3.325	3.35	2.54876e-12	6.1362e-14	6.13845e-15	2.46931e-12	1.19452e-14
3.35	3.375	2.48534e-12	4.64747e-14	6.54846e-15	2.41185e-12	2.04663e-14
3.375	3.4	2.4191e-12	4.39196e-14	5.63623e-15	2.35827e-12	1.12803e-14
3.4	3.425	2.35355e-12	4.88507e-14	5.34503e-15	2.29327e-12	6.07872e-15
3.425	3.45	2.29398e-12	4.14293e-14	5.52927e-15	2.23621e-12	1.08132e-14
3.45	3.475	2.26581e-12	3.80315e-14	5.21859e-15	2.21725e-12	5.31235e-15
3.475	3.5	2.26604e-12	3.57265e-14	8.26067e-15	2.21251e-12	9.53858e-15
3.5	3.525	2.17865e-12	3.26542e-14	4.58895e-15	2.1319e-12	9.50783e-15
3.525	3.55	2.16805e-12	3.39181e-14	5.37686e-15	2.11498e-12	1.37757e-14
3.55	3.575	2.08992e-12	3.25442e-14	4.68693e-15	2.04751e-12	5.18182e-15
3.575	3.6	2.00691e-12	2.96052e-14	3.6164e-15	1.96537e-12	8.31469e-15
3.6	3.625	1.97338e-12	3.35164e-14	3.33579e-15	1.92811e-12	8.4237e-15
