  0     23.531
  5     57.9262	   
 10     66.7513	   
 15     53.0074	   
 20     48.0871	   
 25     36.324	   
 30     42.208	   
 35     41.1894	   
 40     38.3099	   
 45     40.2323	   
 50     38.3132	   
 55     41.196	   
 60     25.4714	   
 65     31.4154	   
 70     41.201	   
 75     35.3204	   
 80     26.4984	   
 85     23.559	   
 90     23.5606	   
 95     24.5827	   
100     14.6804	   
105     19.604	   
110     12.7629	   
115     13.785	   
120     9.76507	   
125     5.86515	   
130     7.84765	   
135     5.86852	   
140     7.85099	   
145     1.9703	   
150     5.87354	   
155     0.0
160     4.01619	   
165     0.0
170     0.898233   
175     0.899986     
180     0.0

























