1.0000 0.9571 0.8665 0.4905 -0.1848 -0.3564 -0.3660 -0.3962 -0.4097 -0.5517
0.9571 1.0000 0.9431 0.5882 -0.1706 -0.3473 -0.3543 -0.3706 -0.3780 -0.5264
0.8665 0.9431 1.0000 0.7623 -0.0371 -0.2673 -0.2732 -0.2847 -0.3114 -0.4568
0.4905 0.5882 0.7623 1.0000 0.5270 0.2171 0.1687 0.1231 0.0279 -0.1392
-0.1848 -0.1706 -0.0371 0.5270 1.0000 0.8933 0.8036 0.7155 0.5933 0.4032
-0.3564 -0.3473 -0.2673 0.2171 0.8933 1.0000 0.9557 0.8984 0.8123 0.5995
-0.3660 -0.3543 -0.2732 0.1687 0.8036 0.9557 1.0000 0.9764 0.9005 0.6547
-0.3962 -0.3706 -0.2847 0.1231 0.7155 0.8984 0.9764 1.0000 0.9613 0.7555
-0.4097 -0.3780 -0.3114 0.0279 0.5933 0.8123 0.9005 0.9613 1.0000 0.8713
-0.5517 -0.5264 -0.4568 -0.1392 0.4032 0.5995 0.6547 0.7555 0.8713 1.0000
