muon_P_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
1.00 , 2.00 , 17.7 ,  4.5 ,  2.6 ,  5.5 ,  0.6 , 19.3
2.00 , 2.50 ,  8.5 ,  4.3 ,  2.2 ,  5.2 ,  0.6 , 11.1
2.50 , 3.00 ,  3.9 ,  3.8 ,  2.4 ,  4.8 ,  0.6 ,  7.7
3.00 , 3.50 ,  6.4 ,  3.9 ,  2.8 ,  5.1 ,  0.6 ,  9.5
3.50 , 4.00 ,  7.6 ,  4.1 ,  2.8 ,  5.7 ,  0.5 , 10.7
4.00 , 5.00 ,  6.9 ,  5.5 ,  3.7 ,  4.9 ,  0.4 , 10.7
5.00 , 7.00 ,  4.2 ,  7.9 ,  6.3 ,  3.7 ,  0.2 , 11.6
7.00 , 10.00 ,  3.9 ,  4.5 ,  3.3 ,  5.5 ,  0.5 ,  8.7
