QSq_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
0.00 , 0.10 , 10.8 ,  7.6 ,  4.8 ,  3.5 ,  0.5 , 14.5
0.10 , 0.25 ,  6.3 ,  3.8 ,  3.7 ,  4.2 ,  0.6 ,  9.3
0.25 , 0.40 ,  3.1 ,  3.5 ,  3.0 ,  4.0 ,  0.6 ,  6.9
0.40 , 0.60 ,  5.9 ,  4.2 ,  4.2 ,  3.1 ,  0.4 ,  8.9
0.60 , 0.85 ,  8.0 ,  4.0 ,  5.6 ,  3.6 ,  0.5 , 11.2
0.85 , 1.15 , 17.5 ,  8.1 ,  8.0 ,  3.1 ,  0.4 , 21.1
1.15 , 1.55 , 33.4 , 10.2 , 11.3 ,  3.2 ,  0.4 , 36.8
1.55 , 2.00 , 64.6 , 20.7 , 17.5 ,  1.7 ,  0.4 , 70.1
