QSq_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
0.00 , 0.10 , 18.5 , 20.6 ,  8.7 ,  3.8 ,  2.6 , 29.4
0.10 , 0.25 ,  9.0 ,  6.6 ,  3.7 ,  4.0 ,  1.2 , 12.5
0.25 , 0.40 ,  3.9 ,  4.3 ,  4.1 ,  4.7 ,  1.2 ,  8.6
0.40 , 0.60 ,  3.5 ,  4.0 ,  4.0 ,  4.6 ,  1.3 ,  8.1
0.60 , 0.85 ,  4.3 ,  2.6 ,  4.5 ,  4.4 ,  1.3 ,  8.2
0.85 , 1.15 ,  5.6 ,  4.9 ,  4.8 ,  3.5 ,  1.5 ,  9.7
1.15 , 1.55 , 10.4 ,  4.9 ,  5.0 ,  4.2 ,  1.4 , 13.3
1.55 , 2.00 , 22.3 ,  8.6 , 12.7 ,  4.9 ,  2.4 , 27.6
