pi0_KE_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
0.00 , 0.05 , 14.3 ,  9.2 ,  7.1 ,  1.4 ,  0.1 , 18.5
0.05 , 0.15 ,  5.0 ,  4.9 ,  4.2 ,  3.4 ,  0.5 ,  8.9
0.15 , 0.25 ,  3.5 ,  3.4 ,  2.3 ,  4.5 ,  0.6 ,  7.1
0.25 , 0.40 ,  3.7 ,  3.5 ,  1.8 ,  4.6 ,  0.6 ,  7.2
0.40 , 0.55 ,  2.7 ,  3.5 ,  2.9 ,  4.9 ,  0.6 ,  7.3
0.55 , 0.75 ,  2.4 ,  2.9 ,  3.4 ,  5.7 ,  0.7 ,  7.6
0.75 , 1.00 ,  3.7 ,  4.7 ,  5.2 ,  4.8 ,  0.6 ,  9.3
