deltaInvMass_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
1.00 , 1.10 , 26.6 , 14.5 , 14.2 ,  2.9 ,  4.2 , 33.9
1.10 , 1.15 , 13.7 ,  5.9 ,  5.4 ,  3.4 ,  2.0 , 16.3
1.15 , 1.20 ,  6.1 ,  3.2 ,  3.7 ,  5.6 ,  1.2 ,  9.7
1.20 , 1.25 ,  3.1 ,  3.0 ,  4.8 ,  5.6 ,  1.2 ,  8.6
1.25 , 1.30 ,  7.3 ,  4.3 ,  5.8 ,  4.7 ,  1.5 , 11.4
1.30 , 1.40 , 10.1 , 12.4 , 10.1 ,  3.0 ,  3.2 , 19.4
1.40 , 1.60 , 19.7 , 22.9 , 19.7 ,  6.2 ,  5.1 , 36.9
