deltaInvMass_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
1.00 , 1.10 , 21.7 , 14.2 , 12.2 ,  4.1 ,  2.9 , 29.1
1.10 , 1.15 , 14.6 ,  9.3 ,  6.4 ,  1.7 ,  2.0 , 18.7
1.15 , 1.20 ,  7.1 ,  5.2 ,  3.2 ,  3.5 ,  1.4 , 10.0
1.20 , 1.25 ,  2.8 ,  3.9 ,  4.0 ,  4.4 ,  1.3 ,  7.7
1.25 , 1.30 ,  3.4 ,  3.5 ,  3.0 ,  4.3 ,  1.5 ,  7.3
1.30 , 1.40 ,  2.9 ,  4.2 ,  2.4 ,  4.2 ,  1.5 ,  7.2
1.40 , 1.60 ,  5.0 ,  4.7 ,  2.3 ,  4.4 ,  1.3 ,  8.6
1.60 , 1.80 , 11.7 ,  8.7 ,  6.9 ,  2.5 ,  1.8 , 16.5
