Delta_pi_phi_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
0.00 , 45.00 ,  4.8 ,  6.2 , 13.2 ,  3.2 ,  2.2 , 15.9
45.00 , 90.00 ,  6.5 ,  8.2 , 10.0 ,  2.6 ,  2.5 , 14.9
90.00 , 135.00 ,  5.2 ,  6.6 ,  8.5 ,  2.8 ,  2.2 , 12.5
135.00 , 180.00 ,  3.4 ,  3.8 ,  2.5 ,  4.9 ,  1.3 ,  7.7
180.00 , 225.00 ,  2.8 ,  3.9 ,  4.6 ,  4.5 ,  1.3 ,  8.2
225.00 , 270.00 ,  5.2 ,  5.1 ,  5.6 ,  4.2 ,  1.5 , 10.2
270.00 , 315.00 ,  3.3 ,  4.4 ,  3.8 ,  4.6 ,  1.5 ,  8.3
315.00 , 360.00 ,  5.7 ,  5.9 ,  7.6 ,  4.0 ,  1.8 , 12.0
