QSq_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
0.00 , 0.10 , 12.4 ,  8.6 ,  4.5 ,  3.6 ,  0.5 , 16.2
0.10 , 0.25 ,  7.2 ,  4.2 ,  3.1 ,  4.4 ,  0.6 ,  9.9
0.25 , 0.40 ,  3.6 ,  3.6 ,  2.6 ,  4.1 ,  0.6 ,  7.1
0.40 , 0.60 ,  3.3 ,  3.3 ,  2.9 ,  4.0 ,  0.5 ,  6.8
0.60 , 0.85 ,  5.0 ,  2.7 ,  4.1 ,  4.4 ,  0.5 ,  8.3
0.85 , 1.15 ,  7.7 ,  4.5 ,  4.4 ,  4.3 ,  0.5 , 10.8
1.15 , 1.55 , 10.9 ,  4.5 ,  4.8 ,  5.4 ,  0.5 , 13.9
1.55 , 2.00 , 24.2 ,  9.2 , 10.7 ,  6.8 ,  0.2 , 28.8
