0 0.068 0.014 0.012
5 0.120 0.015 0.015
10 0.088 0.012 0.013
15 0.091 0.011 0.010
20 0.072 0.013 0.013
25 0.039 0.012 0.009
30 0.031 0.013 0.010
35 0.019 0.011 0.009
40 0.011 0.006 0.009
45 -0.000 0.004 0.006
50 -0.004 0.004 0.005
60 -0.005 0.003 0.010
70 0.000 0.000 0.000
