0.1863 0.0072 -0.0147 -0.0066 -0.0021 -0.0017 -0.0015 -0.0007 -0.0004 -0.0004 -0.0002 -0.0000
0.0072 0.2111 0.0400 0.0327 0.0796 0.0851 0.1135 0.0819 -0.0005 -0.0002 -0.0001 -0.0000
0.0400 0.1386 0.0409 0.0420 0.0489 0.0665 0.0484 -0.0007 -0.0003 -0.0000 0.0000
-0.0066 0.0327 0.0409 0.1249 0.0720 0.0580 0.0802 0.0588 -0.0002 -0.0004 -0.0001 -0.0000
-0.0021 0.0796 0.0420 0.0720 0.1741 0.1116 0.1304 0.0950 0.0001 0.0003 -0.0001 -0.0001
-0.0017 0.0851 0.0489 0.0580 0.1116 0.1365 0.1258 0.0823 -0.0050 -0.0008 0.0000 0.0000
-0.0015 0.1135 0.0665 0.0802 0.1304 0.1258 0.1785 0.1090 -0.0053 -0.0047 -0.0006 0.0001
-0.0007 0.0819 0.0484 0.0588 0.0950 0.0823 0.1090 0.1135 0.0152 -0.0014 -0.0024 -0.0004
-0.0004 -0.0005 -0.0007 -0.0002 0.0001 -0.0050 -0.0053 0.0152 0.0314 0.0137 -0.0018 -0.0013  
-0.0004 -0.0002 -0.0003 -0.0004 0.0003 -0.0008 -0.0047 -0.0014 0.0137 0.0198 0.0042 -0.0005
-0.0002 -0.0001 -0.0000 -0.0001 -0.0001 0.0000 -0.0006 -0.0024 -0.0018 0.0042 0.0123 0.0028
-0.0000 -0.0000 0.0000 -0.0000 -0.0001 0.0000 0.0001 -0.0004 -0.0013 -0.0005 0.0028 0.0119
