0.00 0.567 0.116 0.288
0.25 3.473 0.223 0.568
0.50 1.426 0.105 0.234 
0.75 1.508 0.096 0.222 
1.00 1.213 0.078 0.161 
1.50 0.714 0.061 0.094 
2.00 0.429 0.047 0.060 
2.50 0.227 0.030 0.034 
3.50 0.116 0.019 0.020 
4.00 0.000 0.000 0.000
