1.0000 0.8372 0.8249 0.8055 0.6853 0.6371 0.5334 0.4012 0.6883 0.5614 0.5580 0.5622 0.4933 0.3738
0.8372 1.0000 0.8341 0.8200 0.7346 0.6975 0.6113 0.4909 0.7363 0.6069 0.5979 0.5951 0.5282 0.4021
0.8249 0.8341 1.0000 0.8596 0.7907 0.7656 0.6807 0.5620 0.7710 0.6223 0.6196 0.6155 0.5505 0.3955
0.8055 0.8200 0.8596 1.0000 0.8321 0.8022 0.7303 0.6113 0.7681 0.6086 0.6267 0.6151 0.5430 0.4086
0.6853 0.7346 0.7907 0.8321 1.0000 0.8500 0.7986 0.6840 0.7355 0.5624 0.5734 0.5522 0.5104 0.3959
0.6371 0.6975 0.7656 0.8022 0.8500 1.0000 0.8079 0.7072 0.7386 0.5661 0.5704 0.5503 0.5125 0.3889
0.5334 0.6113 0.6807 0.7303 0.7986 0.8079 1.0000 0.7604 0.7109 0.5691 0.5655 0.5294 0.4897 0.3773
0.4012 0.4909 0.5620 0.6113 0.6840 0.7072 0.7604 1.0000 0.6728 0.5665 0.5900 0.5369 0.4804 0.3891
0.6883 0.7363 0.7710 0.7681 0.7355 0.7386 0.7109 0.6728 1.0000 0.6924 0.7053 0.6958 0.6181 0.4660
0.5614 0.6069 0.6223 0.6086 0.5624 0.5661 0.5691 0.5665 0.6924 1.0000 0.6177 0.5979 0.5225 0.3776
0.5580 0.5979 0.6196 0.6267 0.5734 0.5704 0.5655 0.5900 0.7053 0.6177 1.0000 0.6628 0.5612 0.4341
0.5622 0.5951 0.6155 0.6151 0.5522 0.5503 0.5294 0.5369 0.6958 0.5979 0.6628 1.0000 0.5703 0.4253
0.4933 0.5282 0.5505 0.5430 0.5104 0.5125 0.4897 0.4804 0.6181 0.5225 0.5612 0.5703 1.0000 0.4293
0.3738 0.4021 0.3955 0.4086 0.3959 0.3889 0.3773 0.3891 0.4660 0.3776 0.4341 0.4253 0.4293 1.0000
