E_pi (GeV),0 - 0.25,0.25 - 0.5,0.5 - 0.75,0.75 - 1.0,1.0 - 1.5,1.5 - 2.0,2.0 - 2.5,2.5 - 3.5,3.5 - 4
0 - 0.25,0.5242,0.6582,0.1663,0.0840,0.0262,0.0080,0.0058,0.0020,0.0002
0.25 - 0.5,0.6582,5.8193,1.0820,0.5440,0.1697,0.0509,0.0383,0.0153,0.0027
0.5 - 0.75,0.1663,1.0820,0.7139,0.2271,0.0783,0.0256,0.0199,0.0094,0.0026
0.75 - 1.0,0.0840,0.5440,0.2271,0.4017,0.0557,0.0196,0.0145,0.0070,0.0021
1.0 - 1.5,0.0262,0.1697,0.0783,0.0557,0.1649,0.0106,0.0072,0.0036,0.0012
1.5 - 2.0,0.0080,0.0509,0.0256,0.0196,0.0106,0.0903,0.0051,0.0025,0.0008
2.0 - 2.5,0.0058,0.0383,0.0199,0.0145,0.0072,0.0051,0.0505,0.0023,0.0007
2.5 - 3.5,0.0020,0.0153,0.0094,0.0070,0.0036,0.0025,0.0023,0.0195,0.0005
3.5 - 4,0.0002,0.0027,0.0026,0.0021,0.0012,0.0008,0.0007,0.0005,0.0041
