# Bin (degrees), dsig/dtheta_mu (10^-38 cm^2 / degree / Ar), Error
# http://arxiv.org/pdf/1404.4809v3.pdf
0 0.76 0.18
2 1.7 0.3
4 2.3 0.4
6 1.8 0.3
8 2.1 0.3
10 1.93 0.29
12 1.70 0.29
14 1.38 0.24
16 0.95 0.18
18 0.68 0.14
20 0.77 0.16
22 0.49 0.12
24 0.48 0.12
26 0.44 0.11
28 0.42 0.13
30 0.08 0.06
32 0.12 0.07
34 0.17 0.10
36 0.00 0.00
