2.706	5.775	6.754	6.579	5.143	4.060	2.113	1.440	0.750	0.367	0.104
5.775	38.478	39.167	29.290	24.410	19.508	7.001	4.227	2.028	0.935	0.157
6.754	39.167	49.945	38.665	32.922	23.889	11.404	6.335	2.976	1.385	0.331
6.579	29.290	38.665	40.295	31.139	21.930	12.553	7.008	3.128	1.405	0.449
5.143	24.410	32.922	31.139	39.234	22.772	13.094	7.235	4.296	1.344	0.442
4.060	19.508	23.889	21.930	22.772	17.180	8.021	5.186	2.963	1.033	0.312
2.113	7.001	11.404	12.553	13.094	8.021	7.576	3.915	2.316	0.920	0.371
1.440	4.227	6.335	7.008	7.235	5.186	3.915	3.516	1.510	0.743	0.276
0.750	2.028	2.976	3.128	4.296	2.963	2.316	1.510	1.211	0.413	0.162
0.367	0.935	1.385	1.405	1.344	1.033	0.920	0.743	0.413	0.260	0.076
0.104	0.157	0.331	0.449	0.442	0.312	0.371	0.276	0.162	0.076	0.037
