0.060	0.036	0.045	0.060	0.070	0.099	0.109	0.162	0.218	0.345
0.036	0.061	0.050	0.058	0.076	0.103	0.132	0.177	0.244	0.347
0.045	0.050	0.091	0.071	0.092	0.122	0.164	0.215	0.307	0.421
0.060	0.058	0.071	0.136	0.120	0.157	0.192	0.269	0.357	0.539
0.070	0.076	0.092	0.120	0.234	0.201	0.257	0.344	0.452	0.704
0.099	0.103	0.122	0.157	0.201	0.411	0.349	0.476	0.651	0.983
0.109	0.132	0.164	0.192	0.257	0.349	0.705	0.642	0.854	1.199
0.162	0.177	0.215	0.269	0.344	0.476	0.642	1.418	1.171	1.745
0.218	0.244	0.307	0.357	0.452	0.651	0.854	1.171	2.537	2.339
0.345	0.347	0.421	0.539	0.704	0.983	1.199	1.745	2.339	5.413
