3.620	5.388	6.945	7.192	6.290	4.720	2.463	1.595	0.856	0.414	0.119
5.388	45.476	46.270	34.026	27.189	21.699	8.111	4.960	2.234	1.060	0.173
6.945	46.270	57.045	46.023	36.361	27.508	12.879	7.349	3.310	1.547	0.362
7.192	34.026	46.023	44.882	37.733	24.956	14.640	8.057	3.511	1.609	0.503
6.290	27.189	36.361	37.733	44.032	26.544	14.909	8.191	4.853	1.508	0.499
4.720	21.699	27.508	24.956	26.544	19.522	9.268	5.898	3.308	1.179	0.349
2.463	8.111	12.879	14.640	14.909	9.268	8.568	4.373	2.580	1.023	0.412
1.595	4.960	7.349	8.057	8.191	5.898	4.373	3.961	1.658	0.822	0.303
0.856	2.234	3.310	3.511	4.853	3.308	2.580	1.658	1.342	0.453	0.178
0.414	1.060	1.547	1.609	1.508	1.179	1.023	0.822	0.453	0.287	0.083
0.119	0.173	0.362	0.503	0.499	0.349	0.412	0.303	0.178	0.083	0.041
