 1.000  0.381  0.219  0.239  0.095  0.122  0.105  0.003
 0.381  1.000  0.450  0.352  0.284  0.200  0.207  0.120
 0.219  0.450  1.000  0.291  0.282  0.217  0.224  0.166
 0.239  0.352  0.291  1.000  0.221  0.190  0.235  0.161
 0.095  0.284  0.282  0.221  1.000  0.224  0.299  0.298
 0.122  0.200  0.217  0.190  0.224  1.000  0.298  0.228
 0.105  0.207  0.224  0.235  0.299  0.298  1.000  0.340
 0.003  0.120  0.166  0.161  0.298  0.228  0.340  1.000
