0.00 11.38E-40 20
0.10 15.79E-40 16
0.25 13.06E-40 17
0.40 9.00E-40 18
0.60 5.20E-40 23
0.85 3.23E-40 26
1.15 2.52E-40 31
1.55 1.55E-40 41
2.00 0 0
