0 6.05E-42 45
2 26.44E-42 25
4 55.43E-42 19
6 69.49E-42 18
8 69.59E-42 18
10 66.56E-42 19
12 44.56E-42 22
15 34.30E-42 27
19 13.57E-42 70
25 0 0
