MiniBooNE nubar mode flux
Based on december2007_horn-174ka_rgen610.6_flux.root
Elo: Lower bin edge in GeV
Ehi: Upper bin edge in GeV
numu flux    (numu/cm^2/proton-on-target/50 MeV)
numubar flux (numubar/cm^2/proton-on-target/50 MeV)
nue flux     (nue/cm^2/proton-on-target/50 MeV)
nuebar flux  (nuebar/cm^2/proton-on-target/50 MeV)
  Elo   Ehi       numu      numub        nue       nueb
 4.00  4.05  1.172e-14  4.900e-16  2.524e-16  1.681e-16
 4.05  4.10  1.088e-14  4.984e-16  2.261e-16  1.572e-16
 4.10  4.15  1.063e-14  4.479e-16  2.237e-16  1.406e-16
 4.15  4.20  1.012e-14  2.406e-16  2.154e-16  1.268e-16
 4.20  4.25  9.545e-15  2.196e-16  1.884e-16  1.231e-16
 4.25  4.30  9.358e-15  1.973e-16  1.694e-16  1.077e-16
 4.30  4.35  8.664e-15  1.762e-16  1.650e-16  9.947e-17
 4.35  4.40  8.389e-15  1.339e-16  1.346e-16  9.775e-17
 4.40  4.45  7.950e-15  1.256e-16  1.187e-16  8.410e-17
 4.45  4.50  7.503e-15  9.669e-17  1.142e-16  7.331e-17
 4.50  4.55  7.292e-15  7.546e-17  9.965e-17  7.020e-17
 4.55  4.60  7.194e-15  5.980e-17  1.001e-16  6.270e-17
 4.60  4.65  6.801e-15  6.291e-17  8.928e-17  5.876e-17
 4.65  4.70  6.302e-15  4.740e-17  7.275e-17  4.995e-17
 4.70  4.75  5.939e-15  3.581e-17  7.226e-17  4.352e-17
 4.75  4.80  5.668e-15  3.289e-17  6.372e-17  3.974e-17
 4.80  4.85  5.272e-15  2.808e-17  6.069e-17  3.311e-17
 4.85  4.90  5.099e-15  2.706e-17  5.588e-17  3.234e-17
 4.90  4.95  4.810e-15  2.439e-17  4.919e-17  2.915e-17
 4.95  5.00  4.621e-15  1.477e-17  4.375e-17  2.783e-17
 5.00  5.05  4.364e-15  1.240e-17  3.763e-17  2.370e-17
 5.05  5.10  4.039e-15  1.035e-17  3.561e-17  2.097e-17
 5.10  5.15  3.841e-15  9.001e-18  3.264e-17  2.074e-17
 5.15  5.20  3.546e-15  6.870e-18  2.669e-17  1.746e-17
 5.20  5.25  3.388e-15  8.575e-18  2.274e-17  1.676e-17
 5.25  5.30  3.201e-15  4.392e-18  2.047e-17  1.429e-17
 5.30  5.35  2.964e-15  4.736e-18  1.863e-17  1.336e-17
 5.35  5.40  2.803e-15  3.038e-18  1.809e-17  1.111e-17
 5.40  5.45  2.651e-15  2.413e-18  1.686e-17  9.926e-18
 5.45  5.50  2.521e-15  2.072e-18  1.507e-17  8.299e-18
 5.50  5.55  2.339e-15  2.061e-18  1.354e-17  7.783e-18
 5.55  5.60  2.161e-15  1.113e-18  9.593e-18  5.029e-18
 5.60  5.65  2.012e-15  9.256e-19  9.700e-18  4.684e-18
 5.65  5.70  1.878e-15  6.533e-19  5.531e-18  5.250e-18
 5.70  5.75  1.779e-15  8.079e-19  4.388e-18  5.165e-18
 5.75  5.80  1.627e-15  6.662e-19  3.728e-18  4.512e-18
 5.80  5.85  1.520e-15  3.475e-19  3.285e-18  4.511e-18
 5.85  5.90  1.419e-15  3.808e-19  2.665e-18  4.759e-18
