****************************************************************************************************
This file includes true energy spectra and migration matrices for the neutral current elastic sample
with the reconstructed energy from 40 to 650 MeV and flat fiducial volume cut R < 4.2m.
****************************************************************************************************

Table 2. Reconstructed nucleon kinetic energy spectra for the data and the MC background prediction. The histogram has 51 bins from  40.0 MeV to 650.0 MeV.
==============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
      energy range(MeV)|  40.0<Trec< 52.0   52.0<Trec< 63.9   63.9<Trec< 75.9   75.9<Trec< 87.8   87.8<Trec< 99.8   99.8<Trec<111.8  111.8<Trec<123.7  123.7<Trec<135.7  135.7<Trec<147.6  147.6<Trec<159.6  159.6<Trec<171.6  171.6<Trec<183.5  183.5<Trec<195.5  195.5<Trec<207.5  207.5<Trec<219.4  219.4<Trec<231.4  231.4<Trec<243.3  243.3<Trec<255.3  255.3<Trec<267.3  267.3<Trec<279.2  279.2<Trec<291.2  291.2<Trec<303.1  303.1<Trec<315.1  315.1<Trec<327.1  327.1<Trec<339.0  339.0<Trec<351.0  351.0<Trec<362.9  362.9<Trec<374.9  374.9<Trec<386.9  386.9<Trec<398.8  398.8<Trec<410.8  410.8<Trec<422.7  422.7<Trec<434.7  434.7<Trec<446.7  446.7<Trec<458.6  458.6<Trec<470.6  470.6<Trec<482.5  482.5<Trec<494.5  494.5<Trec<506.5  506.5<Trec<518.4  518.4<Trec<530.4  530.4<Trec<542.4  542.4<Trec<554.3  554.3<Trec<566.3  566.3<Trec<578.2  578.2<Trec<590.2  590.2<Trec<602.2  602.2<Trec<614.1  614.1<Trec<626.1  626.1<Trec<638.0  638.0<Trec<650.0 
Event type             |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Data                   |  4.000000e+01      4.950000e+02      1.902000e+03      2.722000e+03      2.908000e+03      2.878000e+03      2.934000e+03      3.003000e+03      2.892000e+03      2.720000e+03      2.651000e+03      2.656000e+03      2.633000e+03      2.409000e+03      2.364000e+03      2.250000e+03      2.104000e+03      2.070000e+03      1.929000e+03      1.832000e+03      1.762000e+03      1.618000e+03      1.546000e+03      1.458000e+03      1.371000e+03      1.203000e+03      1.174000e+03      1.055000e+03      9.930000e+02      9.080000e+02      8.320000e+02      7.570000e+02      6.840000e+02      6.330000e+02      6.520000e+02      7.090000e+02      7.010000e+02      6.710000e+02      5.890000e+02      5.110000e+02      4.890000e+02      3.920000e+02      3.590000e+02      3.320000e+02      3.450000e+02      3.430000e+02      3.560000e+02      3.410000e+02      3.150000e+02      3.240000e+02      3.360000e+02    
Backgrounds            |  1.468132e+01      1.751390e+02      5.432570e+02      6.452100e+02      6.288804e+02      5.888983e+02      5.721696e+02      5.599448e+02      5.320706e+02      5.089781e+02      4.717286e+02      4.501799e+02      4.296122e+02      3.620738e+02      3.576632e+02      3.276326e+02      3.137620e+02      2.857147e+02      2.655224e+02      2.647242e+02      2.455104e+02      2.285900e+02      2.313580e+02      2.262919e+02      2.283181e+02      2.124414e+02      1.952493e+02      1.962794e+02      1.876680e+02      2.057413e+02      2.050090e+02      1.850047e+02      1.591487e+02      1.803423e+02      1.927868e+02      2.144821e+02      2.260172e+02      2.518160e+02      2.556633e+02      2.555962e+02      2.480172e+02      2.373849e+02      1.840215e+02      1.800383e+02      1.857559e+02      2.038884e+02      2.060577e+02      2.033785e+02      2.086383e+02      2.217605e+02      2.130483e+02    
==============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================


Table 3. Migration matrix (Ttrue vs Trec) for the neutral current elastic on hydrogen protons. The 2-dimensional histogram (true vs reconstructed energy) with 51 x 51 bins for the events that pass the cuts.
True energy is from   0.0 MeV to 900.0 MeV; reconstructed energy from  40.0 MeV to 650.0 MeV.
===========================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
