  0       2.92485
  5       19.6073
 10       33.3649
 15       27.4611
 20       36.3439
 25       43.2769
 30       34.394
 35       31.4692
 40       36.3439
 45       30.4401
 50       22.5863
 55       24.5362
 60       15.7075
 65       14.7326
 70       17.7116
 75       17.7116
 80       6.82464
 85       1.9499
 90       0.0
 95       0.0
100       0.920785
105       9.80366
110       13.7035
115       18.6865
120       24.5362
125       36.3439
130       27.4611
135       15.6534
140       19.6615
145       29.5193
150       14.7326
155       13.7576
160       12.6743
165       6.82464
170       1.9499
175       5.95802
180       0.0
