0.3   0.019 0.006
0.5   0.155 0.017
0.75  0.335 0.030
1.00  0.435 0.042
1.25  0.488 0.055
1.50  0.707 0.087
2.50  0.722 0.174
3.50  0.552 0.150
6.00  0.000 0.000
