0.3   0.019 0.006
0.5   0.155 0.017
0.75  0.332 0.030
1.00  0.427 0.041
1.25  0.455 0.053
1.50  0.614 0.078
2.50  0.650 0.164
3.50  0.368 0.121
6.00  0.000 0.000
