Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
2 - 8 | 0.0
2 - 9 | 0.0
2 - 10 | 0.0
2 - 11 | 0.0
2 - 12 | 0.00599770253652
2 - 13 | 0.00721400229273
2 - 14 | 0.00628016178814
2 - 15 | 0.00211595635276
2 - 16 | 0.00192482772257
2 - 17 | 0.000673891083816
2 - 18 | 0.000264372487888
2 - 19 | 0.000198611516928
2 - 20 | 1.13431953358e-05
2 - 21 | 0.0
2 - 22 | 0.0
2 - 23 | 0.0
2 - 24 | 0.00637550053162
2 - 25 | 0.00727272495208
2 - 26 | 0.00644467632049
2 - 27 | 0.00271235453541
2 - 28 | 0.00236091168401
2 - 29 | 0.00184081754738
2 - 30 | 0.000690646784464
2 - 31 | 0.000464324733051
2 - 32 | -0.000712200603335
2 - 33 | -0.000114446249989
2 - 34 | 0.0
2 - 35 | 0.0
2 - 36 | 0.00715442083662
2 - 37 | 0.00772043448083
2 - 38 | 0.0070146157462
2 - 39 | 0.00589903669955
2 - 40 | 0.00299458976578
2 - 41 | 0.00224012088209
2 - 42 | 0.00134154280523
2 - 43 | 0.00100825719067
2 - 44 | -7.67605804839e-05
2 - 45 | -0.000665592533033
2 - 46 | 0.0
2 - 47 | 0.0
2 - 48 | 0.00675823989816
2 - 49 | 0.00500914823664
2 - 50 | 0.00628367329594
2 - 51 | 0.00462982918735
2 - 52 | 0.00367652404787
2 - 53 | 0.00434811509019
2 - 54 | 0.0014494710316
2 - 55 | 0.0176846269943
2 - 56 | 0.000926893691946
2 - 57 | 9.57296915295e-05
2 - 58 | 1.24033586313e-05
2 - 59 | 0.0
2 - 60 | 0.006444257335
2 - 61 | 0.00276724267823
2 - 62 | 0.00163662686412
2 - 63 | -0.000248290501065
2 - 64 | -0.000222544588559
2 - 65 | 0.00364362981625
2 - 66 | 0.00389739988712
2 - 67 | 0.00207876795473
2 - 68 | 0.00131082601607
2 - 69 | 0.000235969443513
2 - 70 | 2.02931363556e-05
2 - 71 | 0.0
2 - 72 | 0.00539105506912
2 - 73 | 0.0078430203291
2 - 74 | 0.011521647503
2 - 75 | 0.0130743357289
2 - 76 | 0.0106054649129
2 - 77 | 0.00220009254348
2 - 78 | 0.00289380096499
2 - 79 | 0.00241431422527
2 - 80 | 0.00177146812115
2 - 81 | 0.00148459386456
2 - 82 | 0.000490915534417
2 - 83 | 1.63135619153e-06
2 - 84 | 0.00225565245924
2 - 85 | 0.00392170889588
2 - 86 | 0.00392191373561
2 - 87 | 0.00523790953475
2 - 88 | 0.00362181112298
2 - 89 | 0.00120977448322
2 - 90 | 0.00212668159646
2 - 91 | 0.00228214810817
2 - 92 | 0.00183276394893
2 - 93 | 0.00162944691279
2 - 94 | 0.00162098262583
2 - 95 | 7.7193312075e-05
3 - 0 | 0.00193139030968
3 - 1 | 0.00248932537785
3 - 2 | 0.00203526682356
3 - 3 | 0.00100371305736
3 - 4 | 0.000411256262232
3 - 5 | 0.000170496065323
3 - 6 | 5.96100344844e-05
3 - 7 | 2.40094045965e-05
3 - 8 | 0.0
3 - 9 | 0.0
3 - 10 | 0.0
3 - 11 | 0.0
3 - 12 | 0.00151467240963
3 - 13 | 0.00195832478714
3 - 14 | 0.00194477108428
3 - 15 | 0.00100788193687
3 - 16 | 0.000605630862435
3 - 17 | 0.000372336829169
3 - 18 | 0.00019190419152
3 - 19 | 0.000103874301554
3 - 20 | 2.80038893394e-05
3 - 21 | 0.0
3 - 22 | 0.0
3 - 23 | 0.0
3 - 24 | 0.00152413046255
3 - 25 | 0.00199655347462
3 - 26 | 0.00197882934222
3 - 27 | 0.00121970948978
3 - 28 | 0.000843317007876
3 - 29 | 0.00059534887138
3 - 30 | 0.000419210778702
3 - 31 | 0.000259564367011
3 - 32 | -3.32514558697e-05
3 - 33 | -1.08416158182e-05
3 - 34 | 0.0
3 - 35 | 0.0
3 - 36 | 0.00151055940987
3 - 37 | 0.00193124783588
3 - 38 | 0.0022327151604
3 - 39 | 0.00159261064054
3 - 40 | 0.00102429384775
3 - 41 | 0.000799139125693
3 - 42 | 0.000632916439185
3 - 43 | 0.000510774525678
3 - 44 | 0.000182104939083
3 - 45 | -0.000104990588284
3 - 46 | 0.0
3 - 47 | 0.0
3 - 48 | 0.00136106470763
3 - 49 | 0.00155705910607
3 - 50 | 0.00191522426907
3 - 51 | 0.00150883349691
3 - 52 | 0.00115379863261
3 - 53 | 0.00117043449644
3 - 54 | 0.000801322164357
3 - 55 | 0.00267370840868
3 - 56 | 0.000460328203253
3 - 57 | 0.000154930915758
3 - 58 | 1.67220244601e-05
3 - 59 | 0.0
3 - 60 | 0.00136616902433
3 - 61 | 0.00128001458474
3 - 62 | 0.00149751768415
3 - 63 | 0.00114388535449
3 - 64 | 0.000875378910179
3 - 65 | 0.00112257351049
3 - 66 | 0.0010579681949
3 - 67 | 0.000877961358449
3 - 68 | 0.000725116090676
3 - 69 | 0.000329864720182
3 - 70 | 5.74852684985e-05
3 - 71 | 0.0
3 - 72 | 0.00124882198415
3 - 73 | 0.00169482139509
3 - 74 | 0.00223287970077
3 - 75 | 0.00222718945288
3 - 76 | 0.00177599801539
3 - 77 | 0.00100356713005
3 - 78 | 0.0010353344609
3 - 79 | 0.001018738971
3 - 80 | 0.000929684276775
3 - 81 | 0.00069622915753
3 - 82 | 0.000257543082579
3 - 83 | 1.63567939637e-06
3 - 84 | 0.000863059894371
3 - 85 | 0.00100607580953
3 - 86 | 0.00120711818272
3 - 87 | 0.00124032600841
3 - 88 | 0.000943896580766
3 - 89 | 0.000706469933582
3 - 90 | 0.000773755756163
3 - 91 | 0.000817446352964
3 - 92 | 0.00082894342513
3 - 93 | 0.000840404153384
3 - 94 | 0.000850018588175
3 - 95 | 4.75029801892e-05
4 - 0 | 0.00024987106812
4 - 1 | 0.000543518499895
4 - 2 | 0.000475647333105
4 - 3 | 0.000411256262232
4 - 4 | 0.000422677081972
4 - 5 | 0.000144891114137
4 - 6 | 6.73646855421e-05
4 - 7 | 3.15472360545e-05
4 - 8 | 0.0
4 - 9 | 0.0
4 - 10 | 0.0
4 - 11 | 0.0
4 - 12 | 0.000195857761927
4 - 13 | 0.000194542424835
4 - 14 | 0.000790979257901
4 - 15 | 0.000676359730394
4 - 16 | 0.000186176381066
4 - 17 | 0.000281573723441
4 - 18 | 0.000181172760934
4 - 19 | 7.64854039587e-05
4 - 20 | 3.59698430932e-05
4 - 21 | 0.0
4 - 22 | 0.0
4 - 23 | 0.0
4 - 24 | 6.98244201596e-05
4 - 25 | 0.000234348797883
4 - 26 | 0.00077582942514
4 - 27 | 0.000817212753504
4 - 28 | 0.000384012135093
4 - 29 | 0.000223459274496
4 - 30 | 0.000343436329951
4 - 31 | 0.000199899733383
4 - 32 | 0.000191016664303
4 - 33 | 2.62315045872e-05
4 - 34 | 0.0
4 - 35 | 0.0
4 - 36 | -0.000180212461121
4 - 37 | -5.58562452363e-05
4 - 38 | 0.000918086499105
4 - 39 | 0.000249918074144
4 - 40 | 0.00041763955931
4 - 41 | 0.000334093006774
4 - 42 | 0.00036978475863
4 - 43 | 0.000373914034192
4 - 44 | 0.000262366374296
4 - 45 | 0.000108389940064
4 - 46 | 0.0
4 - 47 | 0.0
4 - 48 | -0.000197638577156
4 - 49 | 0.000382213092023
4 - 50 | 0.000609352257668
4 - 51 | 0.000561058814602
4 - 52 | 0.000439272290678
4 - 53 | 5.64844797571e-05
4 - 54 | 0.000543039959911
4 - 55 | -0.00135874604582
4 - 56 | 0.000306489784752
4 - 57 | 0.000162141765686
4 - 58 | 1.57925803469e-05
