0.0	0.2314
0.1	1.4494
0.2	1.9854
0.3	2.3244
0.4	2.3257
0.5	2.3270
0.6	2.2098
0.7	1.8897
0.8	1.6162
0.9	1.3119
1.0	1.0107
1.1	0.8245
1.2	0.6047
1.3	0.4676
1.4	0.3444
1.5	0.2541
1.6	0.1985
1.7	0.1483
1.8	0.1062
1.9	0.0813
2.0	0.0628
2.1	0.0475
2.2	0.0399
2.3	0.0330
2.4	0.0276
2.5	0.0235
2.6	0.0216
2.7	0.0194
2.8	0.0183
2.9	0.0167
3.0	0.0153
3.1	0.0151
3.2	0.0144
3.3	0.0139
3.4	0.0135
3.5	0.0137
3.6	0.0126
3.7	0.0118
3.8	0.0117
3.9	0.0111
4.0	0.0104
4.1	0.0099
4.2	0.0094
4.3	0.0089
4.4	0.0084
4.5	0.0080
4.6	0.0076
4.7	0.0072
4.8	0.0068
4.9	0.0061
5.0	0.0058
5.1	0.0055
5.2	0.0050
5.3	0.0047
5.4	0.0042
5.5	0.0040
5.6	0.0036
5.7	0.0033
5.8	0.0031
5.9	0.0000
6.0	0.0000
