Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
3 - 6 | 0.000410566
3 - 7 | 8.93941e-07
3 - 8 | 0.000831799
3 - 9 | -0.000464221
3 - 10 | 0.000200243
3 - 11 | 0.000371524
3 - 12 | 0.00039034
3 - 13 | 8.97861e-05
3 - 14 | 5.53144e-07
3 - 15 | 0.0004485
3 - 16 | -0.00010274
3 - 17 | -0.000175382
3 - 18 | 0.000155459
3 - 19 | 0.000276688
3 - 20 | 0.000150094
3 - 21 | 1.2345e-06
3 - 22 | 0.000418792
3 - 23 | 8.21093e-05
3 - 24 | -0.000107316
3 - 25 | -6.4745e-05
3 - 26 | 0.000142173
3 - 27 | 8.01755e-05
3 - 28 | 0.000115538
3 - 29 | 1.00012e-06
3 - 30 | 0.000260148
3 - 31 | -7.14733e-05
3 - 32 | -0.000227714
3 - 33 | -9.84715e-07
3 - 34 | 0.000275633
3 - 35 | 4.46069e-05
3 - 36 | 0.000105712
3 - 37 | 4.63858e-05
3 - 38 | 4.98841e-07
3 - 39 | 9.53533e-05
3 - 40 | 0.000327045
3 - 41 | -0.000183882
3 - 42 | -2.45714e-05
3 - 43 | 9.15275e-05
3 - 44 | 6.37322e-06
3 - 45 | 3.64713e-05
3 - 46 | 8.62234e-07
3 - 47 | 0.000152131
3 - 48 | 0.000186077
3 - 49 | 2.08873e-05
3 - 50 | 0.00010577
3 - 51 | 0.000168223
3 - 52 | 0.000124091
3 - 53 | 7.22445e-05
3 - 54 | 2.62994e-05
3 - 55 | 9.57198e-05
3 - 56 | 7.23341e-05
3 - 57 | 2.34605e-06
3 - 58 | 0.000178526
3 - 59 | 9.14371e-05
3 - 60 | 8.48284e-05
3 - 61 | 0.000102456
3 - 62 | 1.41618e-05
3 - 63 | 1.03886e-05
3 - 64 | 3.85372e-05
3 - 65 | 6.42156e-05
3 - 66 | 5.32597e-06
4 - 0 | 0.00238679
4 - 1 | -5.91383e-05
4 - 2 | -1.36344e-07
4 - 3 | 0.000310653
4 - 4 | 0.00821893
4 - 5 | 0.00405344
4 - 6 | 0.00072914
4 - 7 | 1.03821e-06
4 - 8 | 0.00135825
4 - 9 | 0.00183643
4 - 10 | 0.00429707
4 - 11 | 0.0035872
4 - 12 | 0.00205273
4 - 13 | 0.000219232
4 - 14 | 2.14492e-06
4 - 15 | 0.000949446
4 - 16 | 0.00105831
4 - 17 | 0.00309191
4 - 18 | 0.00300638
4 - 19 | 0.0019812
4 - 20 | 0.000770185
4 - 21 | 7.49034e-06
4 - 22 | 0.00106418
4 - 23 | 0.000486147
4 - 24 | 0.00234668
4 - 25 | 0.00226811
4 - 26 | 0.00155331
4 - 27 | 0.00142844
4 - 28 | 0.000735737
4 - 29 | 6.10286e-06
4 - 30 | 0.000571822
4 - 31 | 0.000848287
4 - 32 | 0.00027635
4 - 33 | 0.00211638
4 - 34 | 0.000857878
4 - 35 | 0.000469466
4 - 36 | 0.00064459
4 - 37 | 0.000328567
4 - 38 | 1.89195e-06
4 - 39 | -7.52481e-05
4 - 40 | 0.001745
4 - 41 | 0.00114361
4 - 42 | 0.00073376
4 - 43 | 0.000910947
4 - 44 | 0.000635892
4 - 45 | 0.000292767
4 - 46 | 3.32608e-06
4 - 47 | 0.000246563
4 - 48 | 0.00100076
4 - 49 | 3.805e-05
4 - 50 | -0.000294914
4 - 51 | -0.000220234
4 - 52 | -0.000313334
4 - 53 | -0.000151374
4 - 54 | 0.000393347
