Units: momentum (GeV), cross-section (10^-38 cm2/(nucleon x GeV))

bin number | cosTheta min - cosTheta max | momentum min - momentum max | measured xsec
78 | 0.95 - 0.975 | 1.1 - 1.25 | 2.96e-01
79 | 0.95 - 0.975 | 1.25 - 1.5 | 2.91e-01
80 | 0.95 - 0.975 | 1.5 - 2.0 | 2.48e-01
81 | 0.95 - 0.975 | 2.0 - 3.0 | 1.38e-01
82 | 0.95 - 0.975 | 3.0 - 5.0 | 3.52e-02
83 | 0.95 - 0.975 | 5.0 - 30.0 | 1.76e-04
84 | 0.975 - 1.0 | 0.2 - 0.35 | 1.06e-01
85 | 0.975 - 1.0 | 0.35 - 0.5 | 2.16e-01
86 | 0.975 - 1.0 | 0.5 - 0.65 | 3.76e-01
87 | 0.975 - 1.0 | 0.65 - 0.8 | 3.83e-01
88 | 0.975 - 1.0 | 0.8 - 0.95 | 2.41e-01
89 | 0.975 - 1.0 | 0.95 - 1.1 | 1.62e-01
90 | 0.975 - 1.0 | 1.1 - 1.25 | 1.68e-01
91 | 0.975 - 1.0 | 1.25 - 1.5 | 1.96e-01
92 | 0.975 - 1.0 | 1.5 - 2.0 | 2.19e-01
93 | 0.975 - 1.0 | 2.0 - 3.0 | 2.24e-01
94 | 0.975 - 1.0 | 3.0 - 5.0 | 1.78e-01
95 | 0.975 - 1.0 | 5.0 - 30.0 | 7.94e-03
