Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
3 - 10 | 0.0010914
3 - 11 | 0.00142897
3 - 12 | 0.000987772
3 - 13 | 0.000109194
3 - 14 | 7.27084e-07
3 - 15 | 0.000159149
3 - 16 | 0.000749254
3 - 17 | 0.00125923
3 - 18 | 0.00139809
3 - 19 | 0.00118373
3 - 20 | 0.000390152
3 - 21 | 3.3506e-06
3 - 22 | 0.000199613
3 - 23 | 0.00075578
3 - 24 | 0.00116176
3 - 25 | 0.00141888
3 - 26 | 0.000924283
3 - 27 | 0.000729968
3 - 28 | 0.000504769
3 - 29 | 2.60522e-06
3 - 30 | 7.93509e-05
3 - 31 | 0.000585985
3 - 32 | 0.00113566
3 - 33 | 0.0013193
3 - 34 | 0.00157114
3 - 35 | 0.000710898
3 - 36 | 0.000441173
3 - 37 | 0.000266996
3 - 38 | 7.72882e-07
3 - 39 | 0.000181066
3 - 40 | 0.000996024
3 - 41 | 0.00125483
3 - 42 | 0.000724782
3 - 43 | 0.000893143
3 - 44 | 0.00053723
3 - 45 | 0.00017303
3 - 46 | 2.32706e-06
3 - 47 | 0.000148413
3 - 48 | 0.000552762
3 - 49 | 0.000944187
3 - 50 | 0.00124449
3 - 51 | 0.00079326
3 - 52 | 0.000846375
3 - 53 | 0.000595751
3 - 54 | 0.000395368
3 - 55 | 0.00047486
3 - 56 | 0.000176559
3 - 57 | 6.00693e-06
3 - 58 | 0.000199416
3 - 59 | 0.000344898
3 - 60 | 0.000517473
3 - 61 | 0.000461124
3 - 62 | 0.000180113
3 - 63 | 0.000366208
3 - 64 | 0.000432436
3 - 65 | 0.000429179
3 - 66 | 1.95778e-05
4 - 0 | 0.00135536
4 - 1 | 0.00110357
4 - 2 | 1.4425e-06
4 - 3 | 0.00110627
4 - 4 | 0.00384453
4 - 5 | 0.00292863
4 - 6 | 0.00124243
4 - 7 | 1.95659e-06
4 - 8 | 0.000948177
4 - 9 | 0.00338817
4 - 10 | 0.00379286
4 - 11 | 0.00496596
4 - 12 | 0.00343272
4 - 13 | 0.000379471
4 - 14 | 2.52677e-06
4 - 15 | 0.000553077
4 - 16 | 0.00260382
4 - 17 | 0.00437609
4 - 18 | 0.00485866
4 - 19 | 0.00411372
4 - 20 | 0.00135586
4 - 21 | 1.1644e-05
4 - 22 | 0.000693697
4 - 23 | 0.0026265
4 - 24 | 0.00403736
4 - 25 | 0.0049309
4 - 26 | 0.00321208
4 - 27 | 0.00253679
4 - 28 | 0.00175418
4 - 29 | 9.05368e-06
4 - 30 | 0.000275761
4 - 31 | 0.00203642
4 - 32 | 0.00394666
4 - 33 | 0.00458484
4 - 34 | 0.00546006
4 - 35 | 0.00247052
4 - 36 | 0.00153317
4 - 37 | 0.000927868
4 - 38 | 2.68593e-06
4 - 39 | 0.000629244
4 - 40 | 0.0034614
4 - 41 | 0.00436082
4 - 42 | 0.00251877
4 - 43 | 0.00310386
4 - 44 | 0.00186699
4 - 45 | 0.000601317
4 - 46 | 8.08703e-06
4 - 47 | 0.000515766
4 - 48 | 0.00192097
4 - 49 | 0.00328125
4 - 50 | 0.00432488
4 - 51 | 0.00275675
4 - 52 | 0.00294133
4 - 53 | 0.00207036
4 - 54 | 0.00137399
4 - 55 | 0.00165024
4 - 56 | 0.000613579
