Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
1 - 87 | -4.92081547674e-07
1 - 88 | -4.75044754574e-05
1 - 89 | -1.81362587746e-05
1 - 90 | -2.98127134589e-05
1 - 91 | -3.55471818804e-05
1 - 92 | -1.12976015749e-05
1 - 93 | 2.82612425247e-07
1 - 94 | -7.43430431501e-06
1 - 95 | -3.0220012566e-07
2 - 0 | 2.42278531615e-05
2 - 1 | 0.000352425126448
2 - 2 | 0.00117622294331
2 - 3 | 0.00017742868186
2 - 4 | 2.23004895969e-05
2 - 5 | 5.21792648683e-06
2 - 6 | 1.16979586262e-06
2 - 7 | 1.40234226562e-06
2 - 8 | 0.0
2 - 9 | 0.0
2 - 10 | 0.0
2 - 11 | 0.0
2 - 12 | -2.82578556382e-05
2 - 13 | 4.84736903624e-05
2 - 14 | 0.000159586963302
2 - 15 | 4.44721083439e-05
2 - 16 | 1.3578309576e-05
2 - 17 | 1.43413522188e-05
2 - 18 | 7.35158435023e-06
2 - 19 | 3.02749852329e-06
2 - 20 | 2.9312704354e-07
2 - 21 | 0.0
2 - 22 | 0.0
2 - 23 | 0.0
2 - 24 | -1.15405671703e-05
2 - 25 | -2.43777168207e-05
2 - 26 | 8.79870253656e-06
2 - 27 | 3.4904021556e-06
2 - 28 | 1.91708780608e-05
2 - 29 | 2.16384360184e-05
2 - 30 | 7.88285747612e-06
2 - 31 | 2.72826001739e-06
2 - 32 | -2.10474368768e-06
2 - 33 | -4.4150404107e-07
2 - 34 | 0.0
2 - 35 | 0.0
2 - 36 | -7.52562883155e-06
2 - 37 | -3.42157369109e-05
2 - 38 | -1.87047883708e-05
2 - 39 | -3.07908508776e-05
2 - 40 | 4.78570598515e-06
2 - 41 | -3.61183864323e-06
2 - 42 | -7.17618392574e-08
2 - 43 | 1.0483366728e-06
2 - 44 | -2.20225180698e-06
2 - 45 | 3.83192757941e-06
2 - 46 | 0.0
2 - 47 | 0.0
2 - 48 | 4.01316248083e-06
2 - 49 | -1.59567377975e-05
2 - 50 | 5.25319930785e-06
2 - 51 | -8.61672541962e-06
2 - 52 | -1.3129431707e-05
2 - 53 | -1.73619974262e-05
2 - 54 | -8.04830579797e-06
2 - 55 | -1.48347275859e-05
2 - 56 | -7.61730704857e-06
2 - 57 | -5.18965514664e-07
2 - 58 | -2.99559110714e-07
2 - 59 | 0.0
2 - 60 | 7.88636518911e-06
2 - 61 | -1.08238114132e-05
2 - 62 | -1.93231065563e-05
2 - 63 | -1.50822571093e-05
2 - 64 | 6.66031816095e-06
2 - 65 | 5.2332609747e-06
2 - 66 | 1.56251769845e-06
2 - 67 | 2.649254467e-05
2 - 68 | 4.10257100646e-06
2 - 69 | 3.33205305592e-06
2 - 70 | 1.09577411904e-06
2 - 71 | 0.0
2 - 72 | 2.98850907354e-05
2 - 73 | 2.7404596428e-05
2 - 74 | -7.32374501038e-06
2 - 75 | 1.42552744956e-05
2 - 76 | -9.40900342832e-06
2 - 77 | 6.45636019539e-06
2 - 78 | -2.9325261254e-06
2 - 79 | 8.84649534262e-06
2 - 80 | -4.16774530888e-07
2 - 81 | 4.29989022161e-06
2 - 82 | 1.92567991058e-06
2 - 83 | 2.53100402984e-08
2 - 84 | 6.32017589096e-06
2 - 85 | 3.18383953824e-05
2 - 86 | -4.24028361242e-05
2 - 87 | 3.78247071745e-05
2 - 88 | -4.23084238219e-05
2 - 89 | -5.25208577795e-06
2 - 90 | -5.83941071081e-06
2 - 91 | -1.09081650114e-05
2 - 92 | -2.90351986154e-06
2 - 93 | 3.06955006926e-06
2 - 94 | -4.82300629167e-06
2 - 95 | -1.49483129073e-07
3 - 0 | -1.50334978713e-05
3 - 1 | 1.90301752602e-05
3 - 2 | 0.00017742868186
3 - 3 | 0.000250233117388
3 - 4 | 5.28043011489e-05
3 - 5 | 1.30377268615e-05
3 - 6 | 2.17827933053e-06
3 - 7 | 1.13835125588e-06
3 - 8 | 0.0
3 - 9 | 0.0
3 - 10 | 0.0
3 - 11 | 0.0
3 - 12 | -3.57192495961e-06
3 - 13 | 3.28826741457e-06
3 - 14 | 2.43060463371e-05
3 - 15 | 5.00892519008e-05
