Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
2 - 7 | 1.74090512954e-05
2 - 8 | 0.0
2 - 9 | 0.0
2 - 10 | 0.0
2 - 11 | 0.0
2 - 12 | 0.00275119428108
2 - 13 | 0.00712508206042
2 - 14 | 0.0079635407244
2 - 15 | 0.00342249428431
2 - 16 | 0.00168529824473
2 - 17 | 0.000775596157633
2 - 18 | 0.000262539587755
2 - 19 | 9.41398533086e-05
2 - 20 | 1.71838240257e-05
2 - 21 | 0.0
2 - 22 | 0.0
2 - 23 | 0.0
2 - 24 | 0.00258806792595
2 - 25 | 0.00683951960124
2 - 26 | 0.0079069182331
2 - 27 | 0.00464257916792
2 - 28 | 0.00252301210724
2 - 29 | 0.00125409530879
2 - 30 | 0.000661398458815
2 - 31 | 0.00027546683921
2 - 32 | -7.92292648603e-05
2 - 33 | -1.47232601349e-05
2 - 34 | 0.0
2 - 35 | 0.0
2 - 36 | 0.00224411898271
2 - 37 | 0.0062445391561
2 - 38 | 0.00774770120167
2 - 39 | 0.00580120179073
2 - 40 | 0.00289091870982
2 - 41 | 0.00187335041249
2 - 42 | 0.00130848501726
2 - 43 | 0.000656031808845
2 - 44 | 0.00012945545117
2 - 45 | -7.59769410193e-05
2 - 46 | 0.0
2 - 47 | 0.0
2 - 48 | 0.00162883953298
2 - 49 | 0.00498993115257
2 - 50 | 0.00680390819567
2 - 51 | 0.00558121427978
2 - 52 | 0.00346779893384
2 - 53 | 0.00344265359561
2 - 54 | 0.00183756660412
2 - 55 | 0.00385526019772
2 - 56 | 0.000651928009919
2 - 57 | 9.10169070576e-05
2 - 58 | 6.08141562009e-06
2 - 59 | 0.0
2 - 60 | 0.00133731041813
2 - 61 | 0.00341156743482
2 - 62 | 0.00525399234209
2 - 63 | 0.00457693966856
2 - 64 | 0.0031629164346
2 - 65 | 0.00314122152626
2 - 66 | 0.0028612644971
2 - 67 | 0.00186075518048
2 - 68 | 0.00144925294786
2 - 69 | 0.000387971013851
2 - 70 | 3.64917611269e-05
2 - 71 | 0.0
2 - 72 | 0.00156757223956
2 - 73 | 0.00373717146605
2 - 74 | 0.00656180039625
2 - 75 | 0.00651439915973
2 - 76 | 0.00530815242108
2 - 77 | 0.00307832274323
2 - 78 | 0.00269166192113
2 - 79 | 0.00264500999887
2 - 80 | 0.00225237650481
2 - 81 | 0.00125096932883
2 - 82 | 0.000319722978592
2 - 83 | 1.59691264348e-06
2 - 84 | 0.000958893240375
2 - 85 | 0.00196373459114
2 - 86 | 0.00341876056145
2 - 87 | 0.00347575011792
2 - 88 | 0.00219142171531
2 - 89 | 0.00147356612299
2 - 90 | 0.0015261180689
2 - 91 | 0.00178402112861
2 - 92 | 0.00199013723657
2 - 93 | 0.002038852635
2 - 94 | 0.001613928745
2 - 95 | 7.21032808731e-05
3 - 0 | 0.00103231745149
