Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
3 - 5 | 0.000195385
3 - 6 | 9.89643e-05
3 - 7 | -3.76412e-07
3 - 8 | -0.000231828
3 - 9 | 1.20204e-05
3 - 10 | -1.23666e-05
3 - 11 | 9.36239e-05
3 - 12 | -7.1205e-05
3 - 13 | -8.18778e-05
3 - 14 | -2.97295e-07
3 - 15 | 7.76432e-05
3 - 16 | -4.15838e-05
3 - 17 | 0.000612481
3 - 18 | -0.000256669
3 - 19 | -0.000115608
3 - 20 | 0.000271274
3 - 21 | -5.71796e-07
3 - 22 | -0.000141333
3 - 23 | -0.000472624
3 - 24 | 0.000410193
3 - 25 | 0.000101849
3 - 26 | 9.58373e-05
3 - 27 | -0.000254233
3 - 28 | -0.000112231
3 - 29 | 1.4722e-06
3 - 30 | 0.000102588
3 - 31 | -0.000136254
3 - 32 | 9.25437e-05
3 - 33 | 4.64796e-05
3 - 34 | -0.000370823
3 - 35 | 0.000162338
3 - 36 | -6.58639e-05
3 - 37 | -0.000102784
3 - 38 | 3.13413e-07
3 - 39 | -3.54536e-05
3 - 40 | -0.000506184
3 - 41 | 0.000202884
3 - 42 | -7.64256e-05
3 - 43 | -0.000312231
3 - 44 | 7.3718e-05
3 - 45 | -5.40677e-05
3 - 46 | -2.65262e-07
3 - 47 | 6.2048e-05
3 - 48 | 4.01343e-05
3 - 49 | -3.85705e-05
3 - 50 | 0.000211745
3 - 51 | 0.000485417
3 - 52 | -6.08986e-05
3 - 53 | 0.000211668
3 - 54 | 4.52572e-05
3 - 55 | -9.27889e-05
3 - 56 | 6.23061e-05
3 - 57 | -3.05287e-06
3 - 58 | -6.46676e-05
3 - 59 | 0.000137786
3 - 60 | -0.00052612
3 - 61 | 0.0003534
3 - 62 | -0.000125856
3 - 63 | 2.25413e-05
3 - 64 | -0.000102437
3 - 65 | 8.87299e-05
3 - 66 | -4.98123e-06
4 - 0 | 9.96027e-05
4 - 1 | 0.000260645
4 - 2 | -4.12751e-07
4 - 3 | -0.000505462
4 - 4 | 0.00264467
4 - 5 | -0.000886177
4 - 6 | 3.87601e-05
4 - 7 | 3.41702e-07
4 - 8 | 1.85737e-05
4 - 9 | -0.000253983
4 - 10 | 0.000334213
4 - 11 | 0.000424319
4 - 12 | 7.09615e-05
4 - 13 | 0.000251818
4 - 14 | -2.2616e-07
4 - 15 | 3.56391e-05
4 - 16 | -2.15429e-07
4 - 17 | -0.000716354
4 - 18 | 0.000516972
4 - 19 | -0.000397459
4 - 20 | 0.000240819
4 - 21 | -1.09867e-06
4 - 22 | -0.000112117
4 - 23 | 0.000499098
4 - 24 | -0.000656465
4 - 25 | 0.000230684
4 - 26 | -0.000333048
4 - 27 | 0.000304098
4 - 28 | 0.000192633
4 - 29 | -1.78025e-06
4 - 30 | 0.000156516
4 - 31 | -0.000541829
4 - 32 | -0.000343512
4 - 33 | 0.000733364
4 - 34 | 0.000728882
4 - 35 | -0.000276194
4 - 36 | 0.000188184
4 - 37 | 8.58446e-05
4 - 38 | 1.14204e-06
4 - 39 | -6.03988e-05
4 - 40 | 0.00124563
4 - 41 | -0.000557086
4 - 42 | -0.000197809
4 - 43 | 0.000135667
4 - 44 | -0.000175054
4 - 45 | 9.24977e-06
4 - 46 | -8.02126e-07
4 - 47 | 0.000123775
4 - 48 | 0.000228012
4 - 49 | -0.000153073
4 - 50 | 0.000581783
4 - 51 | -0.00103934
4 - 52 | 9.00299e-06
4 - 53 | 0.000104397
4 - 54 | 1.26417e-05
4 - 55 | 0.000101839
4 - 56 | -2.5049e-05
4 - 57 | 4.68143e-08
4 - 58 | -0.000174251
4 - 59 | -0.000109385
4 - 60 | 0.000246585
4 - 61 | -0.000486154
4 - 62 | 0.000121906
4 - 63 | 2.98486e-05
4 - 64 | -7.35436e-05
4 - 65 | 3.86432e-05
4 - 66 | -8.01773e-06
5 - 0 | 1.76079e-05
5 - 1 | -3.3064e-05
5 - 2 | 2.60712e-07
5 - 3 | 0.000195385
5 - 4 | -0.000886177
5 - 5 | 0.00126586
5 - 6 | -0.000421957
5 - 7 | 2.70279e-07
5 - 8 | 0.0001244
5 - 9 | -0.000126692
5 - 10 | -0.000593638
5 - 11 | -6.70856e-05
5 - 12 | 0.000111509
5 - 13 | -0.000359597
5 - 14 | 3.21116e-07
5 - 15 | -0.000116333
5 - 16 | 0.000342595
5 - 17 | 7.47662e-05
5 - 18 | -0.000443581
5 - 19 | 0.000221971
5 - 20 | -5.60164e-06
5 - 21 | 1.28002e-06
5 - 22 | 4.94299e-05
5 - 23 | 0.000165009
5 - 24 | -0.000114604
5 - 25 | 0.000431148
5 - 26 | -2.49218e-05
5 - 27 | -0.000201982
5 - 28 | -0.000206271
5 - 29 | -5.27107e-07
5 - 30 | -0.000171252
5 - 31 | -6.06969e-05
5 - 32 | 0.000290199
5 - 33 | -0.000442053
5 - 34 | 2.68296e-06
5 - 35 | -0.000356461
5 - 36 | 0.00039554
5 - 37 | -0.000207095
5 - 38 | 3.44558e-07
5 - 39 | 8.70426e-05
5 - 40 | -0.000483599
5 - 41 | 0.000602094
5 - 42 | -0.000647615
5 - 43 | -2.67921e-05
5 - 44 | -9.46e-05
5 - 45 | 7.70259e-05
5 - 46 | 2.90168e-06
5 - 47 | -4.39797e-05
5 - 48 | -0.000124164
5 - 49 | -0.000110501
5 - 50 | -0.000169563
5 - 51 | 0.000245268
5 - 52 | -0.00029513
5 - 53 | -1.76906e-05
5 - 54 | 4.28062e-05
5 - 55 | 8.27639e-05
5 - 56 | -8.2847e-05
5 - 57 | -1.38742e-06
5 - 58 | 0.000104286
5 - 59 | -0.000626514
5 - 60 | 0.000281121
5 - 61 | -0.000324798
5 - 62 | 8.95124e-05
5 - 63 | 1.64032e-05
5 - 64 | 0.000108128
5 - 65 | 8.37814e-05
5 - 66 | 3.93359e-06
6 - 0 | 7.33082e-05
6 - 1 | 3.87088e-05
6 - 2 | -6.25343e-07
6 - 3 | 9.89643e-05
6 - 4 | 3.87601e-05
6 - 5 | -0.000421957
